moviename,theater,numberofkids,other,starttime,date,mpaa_rating,theater_chain,actress,zip,state,distanceconstraints,city,genre,video_format,critic_rating,actor,price,
zootopia,theaters all over,,,around 6 pm,this evening,,,,98101,wa,south side,bellevue,,2d,,,,
zootopia,regal meridian 16,,,around 6 pm,this evening,,,,98101,wa,south side,seattle,,2d,,,,
zootopia,regal meridian 16,,,around 6 pm,this evening,,,,98101,wa,south side,over seattle,,2d,,,,
deadpool,alamo draft house,,,5pm,tonight,,,,,,,dallas,,,,,,
deadpool,alamo drafthouse,,,5pm,tonight,,,,,,,dallas,,,,,,
deadpool,alamo draft house,,,7:55pm,tonight,,,,,,,dallas,,,,,,
deadpool,alamo drafthouse,,,7:55pm,tonight,,,,,,,dallas,,,,,,
deadpool,alamo draft house,,,10:15pm,tonight,,,,,,,dallas,,,,,,
deadpool,,,unable to book movies,,tonight,,,,,mn,,st louis park,,,,,,
deadpool,,,I cannot understand your reply,,tonight,,,,,mn,,st louis park,,,,,,
zoolander 2,regal meridian 16,,,9:25 pm,tomorrow,,,,,,,seattle,,,,,,
risen,regency commerce 14,,,11:50am,tomorrow,,,,,,,,,,,,,
risen,regency commerce 14,,,2:30pm,tomorrow,,,,,,,,,,,,,
risen,regency commerce 14,,,7:50,tomorrow,,,,,,,,,,,,,
risen,regency commerce 14,,,10:25,tomorrow,,,,,,,,,,,,,
risen,regency commerce 14,,,2:30,tomorrow,,,,,,,,,,,,,
,,,purchase tickets,,,,,,,,,,,,,,,
,,,look up date,,,,,,,,,,,,,,,
,,,increased functionality,,,,,,,,,,,,,,,
star wars,Living Room Theaters Regal Lloyd Center 10,,,12:05pm,this friday,,,,,oregon,,portland,,,,,,
star wars,century Eastport 16,,,12:05pm,this friday,,,,,oregon,,portland,,,,,,
star wars,regal lloyd center 10,,,12:05pm,this friday,,,,,oregon,,portland,,,,,,
star wars,Living Room Theaters Regal Lloyd Center 10,,,6:25pm,this friday,,,,,oregon,,portland,,,,,,
star wars,century Eastport 16,,,6:25pm,this friday,,,,,oregon,,portland,,,,,,
zootopia,regal pioneer place,,functionality,after 5 pm,friday,,,,,oregon,,portland,,3d,,,,
zootopia,regal lloyd center 10,,functionality,after 5 pm,friday,,,,,oregon,,portland,,3d,,,,
zootopia,regal pioneer place,,functionality,after 5 pm,friday,,,,,oregon,,portland,, standard,,,,
zootopia,regal lloyd center 10,,functionality,after 5 pm,friday,,,,,oregon,,portland,, standard,,,,
zootopia,regal pioneer place,,functionality,after 5 pm,friday,,,,,oregon,,portland,,standard,,,,
zootopia,regal meridian 16,,,night around 8pm,tomorrow,,,,98101,wa,,seattle,,,top 4,,,
zootopia,regal meridian 16,,,night around 8pm,tomorrow,,,,98101,wa,,bellevue,,,top 4,,,
zootopia,bellevue lincoln square cinemas,,,night around 8pm,tomorrow,,,,98101,wa,,seattle,,,top 4,,,
zootopia,bellevue lincoln square cinemas,,,night around 8pm,tomorrow,,,,98101,wa,,bellevue,,,top 4,,,
zootopia,regal meridian 16,,,night around 8pm,tomorrow,,,,98004,wa,,seattle,,,top 4,,,
zootopia,regal meridian 16,,name,8:40pm,tonight,,,,,,,seattle,,,,,,
zootopia,regal meridian 16,,Master User,8:40pm,tonight,,,,,,,seattle,,,,,,
zootopia,regal meridian 16,,name,8:40,tonight,,,,,,,seattle,,,,,,
zootopia,regal meridian 16,,Master User,8:40,tonight,,,,,,,seattle,,,,,,
Zootopia,regal meridian 16,,name,8:40pm,tonight,,,,,,,seattle,,,,,,
star wars,regal lloyd center 10 & IMAX,,,12:05pm,friday,,,,97232,oregon,,portland,,,,,$20,
star wars,regal lloyd center 10 & IMAX,,,12:05pm,friday,,,,97232,oregon,,Portland,,,,,$20,
star wars,CENTURY 16 EASTPORT PLAZA,,,12:05pm,friday,,,,97232,oregon,,portland,,,,,$20,
star wars,CENTURY 16 EASTPORT PLAZA,,,12:05pm,friday,,,,97232,oregon,,Portland,,,,,$20,
star wars,century 16 EASTPORT PLAZA,,,12:05pm,friday,,,,97232,oregon,,portland,,,,,$20,
zootopia,regal meridian 16,,,9:10 pm,tomorrow,,,,,,,seattle,,,,,,
zootopia,regal meridian 16,,name,8:40pm tonight,tonight,,,,,,,seattle,,,,,,
zootopia,regal meridian 16,,master user,8:40pm tonight,tonight,,,,,,,seattle,,,,,,
zootopia,regal meridian 16,,name,8:40,tonight,,,,,,,seattle,,,,,,
zootopia,regal meridian 16,,master user,8:40,tonight,,,,,,,seattle,,,,,,
hail caesar,regal meridian 16,,,8:45 pm,tomorrow,,,,,,,seattle,,,,,,
kung fu panda 3,regal barkley village stadium 16,,,around 8pm,tonight,,,,98272,wa,near me,Monroe,,,,,,
kung fu panda 3,amc loews cascade mall,,,around 8pm,tonight,,,,98272,wa,near me,Monroe,,,,,,
kung fu panda 3,regal marysville 14,,,around 8pm,tonight,,,,98272,wa,near me,Monroe,,,,,,
kung fu panda 3,regal barkley village stadium 16,,,9:10,tonight,,,,98272,wa,near me,Monroe,,,,,,
kung fu panda 3,amc loews cascade mall,,,9:10,tonight,,,,98272,wa,near me,Monroe,,,,,,
zootopia,park west 14,,,around 6pm,saturday,appropriate for the whole family,,,,north carolina,,cary,,3d,,,,
zootopia,fangandgo,,,around 6pm,saturday,appropriate for the whole family,,,,north carolina,,cary,,3d,,,,
zootopia,Frank Theatres Parkside Town Commons Stadium 11,,,around 6pm,saturday,appropriate for the whole family,,,,north carolina,,cary,,3d,,,,
zootopia,Frank Theatres,,,around 6pm,saturday,appropriate for the whole family,,,,north carolina,,cary,,3d,,,,
zootopia,park west 14,,,around 6pm,saturday,pg,,,,north carolina,,cary,,3d,,,,
hail caesar,regal meridian 16,,name,8:45 pm,tomorrow,,,,,,,seattle,,,,,,
deadpool,carmike summit 16,,,around 2pm,today,,,,35243,al,,birmingham,action,,,,,
deadpool,carmike summit,,,around 2pm,today,,,,35243,al,,birmingham,action,,,,,
deadpool,carmike summit 16,,,2:20PM,today,,,,35243,al,,birmingham,action,,,,,
deadpool,carmike summit,,,2:20PM,today,,,,35243,al,,birmingham,action,,,,,
deadpool,carmike summit 16,,,2:20,today,,,,35243,al,,birmingham,action,,,,,
london has fallen,whittier village stadium cinemas,,,between noon and 4pm,next sunday,,,,90602,ca,,whittier,,,,,,
london has fallen,whittier village stadium cinemas,,,1:30pm,next sunday,,,,90602,ca,,whittier,,,,,,
london has fallen,whittier village stadium cinemas,,,between noon and 4pm,3/13,,,,90602,ca,,whittier,,,,,,
london has fallen,whittier village stadium cinemas,,,1:30pm,3/13,,,,90602,ca,,whittier,,,,,,
the witch,cinemar downey,,two,early,tomorrow,,,,90601,,,,,,,,,
the witch,amc theaters puente hills,,two,early,tomorrow,,,,90601,,,,,,,,,
the witch,cinemar downey,,two,10:35,tomorrow,,,,90601,,,,,,,,,
the witch,amc theaters puente hills,,two,10:35,tomorrow,,,,90601,,,,,,,,,
the witch,cinemar downey,,two,11:40 am,tomorrow,,,,90601,,,,,,,,,
zoolander 2,wehrenberg o'fallon 15 cine,,another preference,afternoon,tomorrow,,,,62269,illinois,,sparta,romantic comedies,,,,,
zoolander 2,wehrenberg o'fallon 15 cine,,another preference,afternoon,tomorrow,,,,62269,illinois,,Shiloh,romantic comedies,,,,,
zoolander 2,wehrenberg o'fallon 15 cine,,another preference,afternoon,tomorrow,,,,62269,illinois,,Belleville,romantic comedies,,,,,
zoolander 2,wehrenberg o'fallon 15 cine,,another preference,afternoon,tomorrow,,,,62269,illinois,,o'fallon,romantic comedies,,,,,
zoolander 2,wehrenberg o'fallon 15 cine,,another preference,afternoon,tomorrow,,,,62269,illinois,,fairview heights,romantic comedies,,,,,
zootopia,regal meridian 16,,,9:10 pm,tomorrow,,,,,,,seattle,,,,,,
zootopia,,,,,tomorrow night,,,,,,,seattle,,,,,,
deadpool,amc pacific place 11,,,6:10pm,tonight,,amc,,98101,wa,,seattle,,,,,,
deadpool,amc pacific place 11,,,6:10pm,tonight,,amc,,98101,wa,,bellevue,,,,,,
deadpool,bellevue lincoln square cinemas,,,6:10pm,tonight,,amc,,98101,wa,,seattle,,,,,,
deadpool,bellevue lincoln square cinemas,,,6:10pm,tonight,,amc,,98101,wa,,bellevue,,,,,,
deadpool,pacific place 11,,,6:10pm,tonight,,amc,,98101,wa,,seattle,,,,,,
first,,,purchase tickets,,,,,,,,,,,,,,,
zootopia,carmike summit 16,,,2 pm,saturday,pg,,,,al,,birmingham,family friendly,3d,,,,
zootopia,carmike summit 16,,,2 pm,saturday,pg,,,,al,,birmingham,family friendly,standard,,,,
zootopia,carmike summit 16,,,2 pm,saturday,pg,,,,alabama,,birmingham,family friendly,3d,,,,
zootopia,carmike summit 16,,,2 pm,saturday,pg,,,,alabama,,birmingham,family friendly,standard,,,,
zootopia,carmike summit 16,,,1:45pm,saturday,pg,,,,al,,birmingham,family friendly,3d,,,,
zootopia,bellevue lincoln square cinemas,,,around 2pm,saturday,,,,,,east side,seattle,,,,,,
zootopia,bellevue lincoln square,,,around 2pm,saturday,,,,,,east side,seattle,,,,,,
zootopia,bellevue lincoln square cinemas,,,2:35 pm,saturday,,,,,,east side,seattle,,,,,,
zootopia,bellevue lincoln square,,,2:35 pm,saturday,,,,,,east side,seattle,,,,,,
zootopia,bellevue lincoln square cinemas,,,2:35,saturday,,,,,,east side,seattle,,,,,,
zootopia,regal meridian 16,,,4:10,tonight,,,,98004,wa,,seattle,,2d,,,,
zootopia,regal meridian 16,,,4:10,tonight,,,,98004,wa,,bellevue,,2d,,,,
zootopia,bellevue lincoln square cinemas,,,4:10,tonight,,,,98004,wa,,seattle,,2d,,,,
zootopia,bellevue lincoln square cinemas,,,4:10,tonight,,,,98004,wa,,bellevue,,2d,,,,
zootopia,regal meridian 16,,,4:10,tonight,,,,98004,wa,,seattle,,3d,,,,
whiskey tango foxtrot,any,,,soonest,,,,,,ny,,albany,,,,,,
whiskey tango foxtrot,regal clifton park stadium,,,soonest,,,,,,ny,,albany,,,,,,
whiskey tango foxtrot,any,,,12:40pm,,,,,,ny,,albany,,,,,,
whiskey tango foxtrot,regal clifton park stadium,,,12:40pm,,,,,,ny,,albany,,,,,,
star wars,century eastport 16,,Fandango,12:20pm,friday,,,,,oregon,,portland,,,,,,
star wars,century eastport 16,,Fandango,3:40,friday,,,,,oregon,,portland,,,,,,
star wars,century eastport 16,,Fandango,6:50,friday,,,,,oregon,,portland,,,,,,
star wars,century eastport 16,,Fandango,10:00,friday,,,,,oregon,,portland,,,,,,
star wars,century eastport 16,,Fandango,10 o clock,friday,,,,,oregon,,portland,,,,,,
deadpool,,,,,,,,,,,,,action,,great reviews all around with a 84 percent on rotten tomatoes and 93 of audience members recommending it,ryan reynolds,,
london has fallen,,,,,,,,,,,,,action,,great reviews all around with a 84 percent on rotten tomatoes and 93 of audience members recommending it,ryan reynolds,,
the revenant,,,,,,,,,,,,,action,,great reviews all around with a 84 percent on rotten tomatoes and 93 of audience members recommending it,ryan reynolds,,
,amc houma palace 10,,,night,this week,,,,,louisiana,,houma,comedy,,,,,
,amc houma palace 10,,,night,this week,,,,,louisiana,,la,comedy,,,,,
,amc houma palace 10,,,night,this week,,,,,louisiana,,houma,adult comedy,,,,,
,amc houma palace 10,,,night,this week,,,,,louisiana,,la,adult comedy,,,,,
,amc houma palace 10,,,2:15pm,this week,,,,,louisiana,,houma,comedy,,,,,
london has fallen,regal la stadium 14,,,night,tomorrow,,,,,ca,,la,action,,,,,
london has fallen,regal la stadium 14,,,night,tomorrow,,,,,ca,,los angeles,action,,,,,
london has fallen,olympic blvd,,,night,tomorrow,,,,,ca,,la,action,,,,,
london has fallen,olympic blvd,,,night,tomorrow,,,,,ca,,los angeles,action,,,,,
london has fallen,regal la stadium 14,,,10 cloverfield lane,tomorrow,,,,,ca,,la,action,,,,,
,,,,,,,century,,,illinois,local theater,evanston,,,,,$10,
zootopia,Regal Meridan 16 Bellevue Lincoln Square Cinemas,,,roughly every hour,tomorrow night,,,,,WA,,Seattle,,regular,,,,
zootopia,Pacific Science Center IMAX Theaters,,,roughly every hour,tomorrow night,,,,,WA,,Seattle,,regular,,,,
zootopia,regal meridan 16,,,roughly every hour,tomorrow night,,,,,WA,,Seattle,,regular,,,,
zootopia,Regal Meridan 16 Bellevue Lincoln Square Cinemas,,,roughly every hour,tomorrow night,,,,,WA,,Seattle,,3d,,,,
zootopia,Pacific Science Center IMAX Theaters,,,roughly every hour,tomorrow night,,,,,WA,,Seattle,,3d,,,,
,,,,,today,,,,,,,,,,,,,
10 cloverfield lane,any,,new release,7:00,tonight,,amc star john r 15,,32289,mi,closest theater to you,royal oak,,,,,,
10 cloverfield lane,any,,new release,7:00,tonight,,amc star john r 15,,32289,mi,closest theater to you,madison heights,,,,,,
10 cloverfield lane,any,,new release,7:00,tonight,,amc star john r 15,,32289,mi,closest theater to you,Southfield,,,,,,
10 cloverfield lane,box office window,,new release,7:00,tonight,,amc star john r 15,,32289,mi,closest theater to you,royal oak,,,,,,
10 cloverfield lane,box office window,,new release,7:00,tonight,,amc star john r 15,,32289,mi,closest theater to you,madison heights,,,,,,
london has fallen,amc showplace carbondale,,,afternoon,this week,,,,,illinois,,carbondale,action,,,,,
london has fallen,Main Street Carbondale,,,afternoon,this week,,,,,illinois,,carbondale,action,,,,,
london has fallen,AMC UNIVERSITY PLACE 8,,,afternoon,this week,,,,,illinois,,carbondale,action,,,,,
london has fallen,amc showplace carbondale,,,afternoon,tomorrow,,,,,illinois,,carbondale,action,,,,,
london has fallen,Main Street Carbondale,,,afternoon,tomorrow,,,,,illinois,,carbondale,action,,,,,
kung fu panda 3,regal barkley village stadium 16,,,around 8pm,tonight,,,,98272,wa,near,monroe,,,,,,
kung fu panda 3,amc loews cascade mall,,,around 8pm,tonight,,,,98272,wa,near,monroe,,,,,,
kung fu panda 3,regal marysville 14,,,around 8pm,tonight,,,,98272,wa,near,monroe,,,,,,
kung fu panda 3,regal barkley village stadium 16,,,9:10,tonight,,,,98272,wa,near,monroe,,,,,,
kung fu panda 3,amc loews cascade mall,,,9:10,tonight,,,,98272,wa,near,monroe,,,,,,
london has fallen,,,,,,,,,,,,,,,,,,
10 cloverfield lane,amc pacific place 11 600 pine s,,place that serves seafood,after dinner,friday,,,,98101,wa, seattle area,seattle,,,,,,
10 cloverfield lane,amc pacific place 11 600 pine s,,place that serves seafood,after dinner,friday,,,,98101,wa, seattle area,bellevue,,,,,,
10 cloverfield lane,bellevue lincoln square cinemas,,place that serves seafood,after dinner,friday,,,,98101,wa, seattle area,seattle,,,,,,
10 cloverfield lane,bellevue lincoln square cinemas,,place that serves seafood,after dinner,friday,,,,98101,wa, seattle area,bellevue,,,,,,
10 cloverfield lane,amc pacific place 11 600 pine s,,place that serves seafood,after dinner,friday,,,,98004,wa, seattle area,seattle,,,,,,
deadpool,carmike summit 16,,imdb,matinee,friday,,,,,al,,birmingham,action,,6,,,
deadpool,carmike summit 16,,imdb,matinee,friday,,,,,al,,birmingham,action,,5,,,
deadpool,carmike summit 16,,imdb,matinee,saturday,,,,,al,,birmingham,action,,6,,,
deadpool,carmike summit 16,,imdb,matinee,saturday,,,,,al,,birmingham,action,,5,,,
deadpool,carmike summit 16,,imdb,evening,friday,,,,,al,,birmingham,action,,6,,,
eddie the eagle,regal meridian sundance cinemas,,,,,,,,,,,seattle,drama,,,,,
big short,regal meridian sundance cinemas,,,,,,,,,,,seattle,drama,,,,,
the big short,regal meridian sundance cinemas,,,,,,,,,,,seattle,drama,,,,,
eddie the eagle,regal thornton place,,,,,,,,,,,seattle,drama,,,,,
big short,regal thornton place,,,,,,,,,,,seattle,drama,,,,,
Deadpool,loews stony brook 17,,,tonight,,,,,,NY,,Long Island,,,,,,
Deadpool,amc loews stony brook,,,tonight,,,,,,NY,,Long Island,,,,,,
Deadpool,loews stony brook 17,,,7:30 pm,,,,,,NY,,Long Island,,,,,,
Deadpool,amc loews stony brook,,,7:30 pm,,,,,,NY,,Long Island,,,,,,
Deadpool,loews stony brook 17,,,8:15 pm,,,,,,NY,,Long Island,,,,,,
whiskey tango foxtrot,regal fox tower stadium 10,,,after 6 pm,saturday,,,,,oregon,,portland,,,,,,
whiskey tango foxtrot,regal fox tower stadium 10,,,6:45,saturday,,,,,oregon,,portland,,,,,,
deadpool,,,favorite part,,,,,,,,,,,,,,,
deadpool,,,worth watching,,,,,,,,,,,,,,,
zootopia,any,,, around 7pm,tomorrow,pg,,,,iowa,,des moines,,,,,,
zootopia,flix brewhouse des moines,,, around 7pm,tomorrow,pg,,,,iowa,,des moines,,,,,,
zootopia,carmike cobblestone 9,,, around 7pm,tomorrow,pg,,,,iowa,,des moines,,,,,,
kung fu panda 3,any,,, around 7pm,tomorrow,pg,,,,iowa,,des moines,,,,,,
kung fu panda 3,flix brewhouse des moines,,, around 7pm,tomorrow,pg,,,,iowa,,des moines,,,,,,
zootopia,amc van ness 14,,,afternoon,tomorrow,,,,,ca,northern part of the city,northern san francisco,,standard,,,,
zootopia,amc van ness 14,,,afternoon,tomorrow,,,,,ca,northern part of the city,94109,,standard,,,,
zootopia,AMC Van Ness,,,afternoon,tomorrow,,,,,ca,northern part of the city,northern san francisco,,standard,,,,
zootopia,AMC Van Ness,,,afternoon,tomorrow,,,,,ca,northern part of the city,94109,,standard,,,,
zootopia,amc van ness,,,afternoon,tomorrow,,,,,ca,northern part of the city,northern san francisco,,standard,,,,
risen,amc lowes oak tree 6,,,4:25 pm,tomorrow,,,,,,,seattle,,,,,,
whiskey tango foxtrot,SIFF Cinema Uptown,,,7,march 11th,,,,,,,seattle,,,,,,
whiskey tango foxtrot,SIFF Cinema Uptown,,,7,tomorrow,,,,,,,seattle,,,,,,
whiskey tango foxtrot,Ark Lodge Cinemas,,,7,march 11th,,,,,,,seattle,,,,,,
whiskey tango foxtrot,Ark Lodge Cinemas,,,7,tomorrow,,,,,,,seattle,,,,,,
whiskey tango foxtrot,Regal Crossroads,,,7,march 11th,,,,,,,seattle,,,,,,
room,pacific place 11 theater,,name,9:30 pm,tomorrow,,amc,,,,,seattle,,,,,,
how to be single,wehrenberg ronnies 20#imax 5320,,subtitiles,7:20,,,,,63126,mo,near here,st,romantic,,nice,,,
how to be single,wehrenberg ronnies 20#imax 5320,,subtitiles,7:20,,,,,63126,mo,near here,louis,romantic,,nice,,,
how to be single,wehrenberg ronnies 20#imax 5320,,subtitiles,7:20,,,,,63126,mo,near here,sappington,romantic,,nice,,,
how to be single,blvd,,subtitiles,7:20,,,,,63126,mo,near here,st,romantic,,nice,,,
how to be single,blvd,,subtitiles,7:20,,,,,63126,mo,near here,louis,romantic,,nice,,,
deadpool,amc pacific place 11,,,,21-mar,,,,98101,wa,,seattle,,,,,,
deadpool,amc pacific place 11,,,,21-mar,,,,98101,wa,,bellevue,,,,,,
deadpool,bellevue lincoln square cinemas,,,,21-mar,,,,98101,wa,,seattle,,,,,,
deadpool,bellevue lincoln square cinemas,,,,21-mar,,,,98101,wa,,bellevue,,,,,,
deadpool,big picture seattle,,,,21-mar,,,,98101,wa,,seattle,,,,,,
london has fallen,regal macarthur center stadium 18,,,7pm,march 12th,,,,,virginia,,norfolk,,,,,,
london has fallen,RPX CINEMARK 18,,,7pm,march 12th,,,,,virginia,,norfolk,,,,,,
london has fallen,regal,,,7pm,march 12th,,,,,virginia,,norfolk,,,,,,
london has fallen,regal macarthur center stadium 18,,,7:10,march 12th,,,,,virginia,,norfolk,,,,,,
london has fallen,RPX CINEMARK 18,,,7:10,march 12th,,,,,virginia,,norfolk,,,,,,
London Has Fallen#Whiskey Tango Foxtrot#Zootopia#Eddie The Eagle#Gods of Egypt#Triple 9#The Witch#Where to Invade Next#Zoolander 2#Hail Caesar#Kung Fu Panda 3#Star Wars#The Big Short#The Danish Girl#more,regal meridian 16,,many many theaters,,tonight,,,,,,,seattle,,,,,,
London Has Fallen#Whiskey Tango Foxtrot#Zootopia#Eddie The Eagle#Gods of Egypt#Triple 9#The Witch#Where to Invade Next#Zoolander 2#Hail Caesar#Kung Fu Panda 3#Star Wars#The Big Short#The Danish Girl#more,regal meridian 16,,different selection of movies,,tonight,,,,,,,seattle,,,,,,
London Has Fallen#Whiskey Tango Foxtrot#Zootopia#Eddie The Eagle#Gods of Egypt#Triple 9#The Witch#Where to Invade Next#Zoolander 2#Hail Caesar#Kung Fu Panda 3#Star Wars#The Big Short#The Danish Girl#more,regal meridian 16,,search for a theater,,tonight,,,,,,,seattle,,,,,,
London Has Fallen#Whiskey Tango Foxtrot#Zootopia#Eddie The Eagle#Gods of Egypt#Triple 9#The Witch#Where to Invade Next#Zoolander 2#Hail Caesar#Kung Fu Panda 3#Star Wars#The Big Short#The Danish Girl#more,regal meridian 16,,latest showing,,tonight,,,,,,,seattle,,,,,,
zoolander 2,regal meridian 16,,many many theaters,,tonight,,,,,,,seattle,,,,,,
zootopia,chase park plaza cinemas,2,,afternoon,thursday,pg,,,,,,st louis,kids,,good,,,
zootopia,chase park plaza,2,,afternoon,thursday,pg,,,,,,st louis,kids,,good,,,
zootopia,chase park plaza cinemas,2,,afternoon,thursday,pg,,,,,,st louis,kids,,4 5/5 star rating,,,
zootopia,chase park plaza,2,,afternoon,thursday,pg,,,,,,st louis,kids,,4 5/5 star rating,,,
zootopia,chase park plaza cinemas,2,,11:00am,thursday,pg,,,,,,st louis,kids,,good,,,
,,,Italian restaurant,,,,,,,,,seattle,,,,,,
spotlight,amc lowes oak tree 6,,restaurant,7:25 pm,tomorrow,,,,,,,seattle,,,,,,
spotlight,amc lowes oak tree 6,,restaurant booking service,7:25 pm,tomorrow,,,,,,,seattle,,,,,,
deadpool,regal live stadium 14,,,8pm,tomorrow,,,,90015,CA,,los angeles,,,,,,
deadpool,regal live stadium 14,,,8pm,tomorrow,,,,90015,CA,,Los Angeles,,,,,,
deadpool,regal live stadium 14,,,8 pm,tomorrow,,,,90015,CA,,los angeles,,,,,,
deadpool,regal live stadium 14,,,8 pm,tomorrow,,,,90015,CA,,Los Angeles,,,,,,
deadpool,regal live stadium 14,,,8pm,today,,,,90015,CA,,los angeles,,,,,,
batman moviename,regal lloyd center 10 & IMAX,,,any time,this weekend,,,,,oregon,,portland,,,,,,
batman moviename,Century Eastport 16,,,any time,this weekend,,,,,oregon,,portland,,,,,,
batman moviename,Century Clackmas Town Center,,,any time,this weekend,,,,,oregon,,portland,,,,,,
batman moviename,XD,,,any time,this weekend,,,,,oregon,,portland,,,,,,
batman moviename,century Eastport 16,,,any time,this weekend,,,,,oregon,,portland,,,,,,
zootopia,theaters all across seattle,,online ticketing,matinee,tomorrow,,,,98101,wa,near me,seattle,,3d,,,,
zootopia,Regal Meridian 16,,online ticketing,matinee,tomorrow,,,,98101,wa,near me,seattle,,3d,,,,
zootopia,Pacific Science Center,,online ticketing,matinee,tomorrow,,,,98101,wa,near me,seattle,,3d,,,,
zootopia,Admiral Theater,,online ticketing,matinee,tomorrow,,,,98101,wa,near me,seattle,,3d,,,,
zootopia,pacific science center,,online ticketing,matinee,tomorrow,,,,98101,wa,near me,seattle,,3d,,,,
deadpool,bellevue lincoln square cinemas,,I can't remember,8:15pm,tonight,,,,98004,washington,near,bellevue,superhero movie,,,ryan reynolds,,
deadpool,amc,,I can't remember,8:15pm,tonight,,,,98004,washington,near,bellevue,superhero movie,,,ryan reynolds,,
deadpool,bellevue lincoln square cinemas,,I can't remember,8:15pm,tonight,,,,98119,washington,near,bellevue,superhero movie,,,ryan reynolds,,
deadpool,amc,,I can't remember,8:15pm,tonight,,,,98119,washington,near,bellevue,superhero movie,,,ryan reynolds,,
deadpool,bellevue lincoln square cinemas,,I can't remember,8:15pm,tonight,,,,98004,wa,near,bellevue,superhero movie,,,ryan reynolds,,
,,,,,coming saturday,,,,,,near me,campcreek area,,,,,,
kung fu panda 3,regal thornton place stadium,,,between 5pm and 6pm,saturday,,,,,washington,,bellevue,,3d,,,,
kung fu panda 3,regal thornton place stadium,,,between 5 and 6pm,saturday,,,,,washington,,bellevue,,3d,,,,
kung fu panda 3,regal thornton place stadium,,,6:10pm,saturday,,,,,washington,,bellevue,,3d,,,,
deadpool,amc star fairlane 21,,,7pm,tomorrow,,,,,,,detroit,,,,,,
deadpool,amc star fairlane 21,,,7:05,tomorrow,,,,,,,detroit,,,,,,
creed,regency academy 6,,,around noon,tomorrow,,,,,,,,,,,,,
creed,regency academy 6,,,1:00pm,tomorrow,,,,,,,,,,,,,
zootopia,Regal LA Live Stadium 14,,,8pm,tomorrow,,,,,,,los angeles,,3d,,,,
zootopia,Regal LA Live Stadium 14,,,8pm,tomorrow,,,,,,,los angeles,,standard,,,,
zootopia,Regal LA Live Stadium 14,,,7:10pm,tomorrow,,,,,,,los angeles,,3d,,,,
zootopia,Regal LA Live Stadium 14,,,7:10pm,tomorrow,,,,,,,los angeles,,standard,,,,
risen,,,,4:25 pm,tomorrow,,amc lowes oak tree 6,,,,,seattle,,,,,,
deadpool,cinemark tinseltown 9,,,10:05,tonight,,,,,texas,,arlington,,,,ryan reynolds,,
room,amc pacific place 11 theater,,,9:30 pm,tomorrow,,,,,,,seattle,,,,,,
whiskey tango foxtrot,regal meridian 16,,name,soonest upcoming showing,,,,,,,,seattle,,,,,,
whiskey tango foxtrot,regal meridian 16,,name,9:00pm,,,,,,,,seattle,,,,,,
risen race spotlight,regal meridian 16,,large number of movies,7pm,tomorrow,,amc loews oak tree 6,,98101,wa,,seattle,comedy,,,,,
risen race spotlight,AMC LOEWS OAK TREE 6 10006 aurora,,large number of movies,7pm,tomorrow,,amc loews oak tree 6,,98101,wa,,seattle,comedy,,,,,
risen race spotlight,regal meridian 16,,large number of movies,7pm,tomorrow,,amc loews oak tree 6,,98133,wa,,seattle,comedy,,,,,
risen race spotlight,AMC LOEWS OAK TREE 6 10006 aurora,,large number of movies,7pm,tomorrow,,amc loews oak tree 6,,98133,wa,,seattle,comedy,,,,,
risen race spotlight,regal meridian 16,,large number of movies,7pm,tomorrow,,amc loews oak tree 6,,98101,wa,,seattle,drama,,,,,
london had fallen,carmike summit 16,,,around 2pm,today,,,,,al,,birmingham,,,,,,
london had fallen,carmike summit 16,,,1:35 pm,today,,,,,al,,birmingham,,,,,,
zootopia,regal meridian 16,,rotten tomatoes,night around 8pm,tomorrow,,,,98101,wa,,seattle,,,top,,,
zootopia,regal meridian 16,,rotten tomatoes,night around 8pm,tomorrow,,,,98101,wa,,bellevue,,,top,,,
zootopia,bellevue lincoln square cinemas,,rotten tomatoes,night around 8pm,tomorrow,,,,98101,wa,,seattle,,,top,,,
zootopia,bellevue lincoln square cinemas,,rotten tomatoes,night around 8pm,tomorrow,,,,98101,wa,,bellevue,,,top,,,
zootopia,regal meridian 16,,rotten tomatoes,night around 8pm,tomorrow,,,,98004,wa,,seattle,,,top,,,
room,amc lowes oak tree 6,,,4:50 pm,tomorrow,,,,,,,seattle,,,,,,
zootopia,regal meridian 16,,,,tonight,,,,,washington,near my location,seattle,comedy,,number 1,,,
zootopia,regal meridian 16,,,,tonight,,,,,washington,safeco field,seattle,comedy,,number 1,,,
zootopia,regal meridian 16,,,,tonight,,,,,washington,near my location,seattle,comedies,,number 1,,,
zootopia,regal meridian 16,,,,tonight,,,,,washington,safeco field,seattle,comedies,,number 1,,,
Whiskey Tango Foxtrot,regal meridian 16,,,,tonight,,,,,washington,near my location,seattle,comedy,,number 1,,,
deadpool,The Pearl Theatre,,,1:30pm,tomorrow,,,,19101,pa,near,philadelphia,,,,,,
deadpool,The Pearl Theatre,,,1:30pm,tomorrow,,,,19121,pa,near,philadelphia,,,,,,
deadpool,The Pearl Theatre,,,4:30,tomorrow,,,,19101,pa,near,philadelphia,,,,,,
deadpool,The Pearl Theatre,,,4:30,tomorrow,,,,19121,pa,near,philadelphia,,,,,,
